disease_en	disease_jp
pyogenic granuloma	化膿性肉芽腫
granuloma annulare	環状肉芽腫[L]
granuloma faciale	顔面肉芽腫[L]
granuloma gravidarum	妊娠性肉芽腫[L]
granulomatosis	肉芽腫症
gynecomastia	女性化乳房
gynopathy	婦人病
hairy leukoplakia	毛様白板症
halitosis	口臭(bad breath)
hallux dolorosus	有痛母趾[L]
hallux flexus	底屈母趾[L]
hallux malleus	槌状母趾[L] /槌=つち/
hallux rigidus	強直母趾[L]
hallux valgus	外反母趾[L]
hallux varus	内反母趾[L]
hamartoma	過誤腫
hapalonychia	爪甲軟化(症)
haplodont	単錘歯
headache	頭痛
hearing impairment	聴覚障害
hearing loss	聴力喪失∥難聴
heart failure	心不全
heat collapse	熱虚脱
helcosis	潰瘍形成
helminthemesis	寄生虫吐出
helminthiasis	蠕虫性疾患(helminthism)
helminthoma	蠕虫腫
hemochromatosis	血色素症
hemangioblastoma	血管芽細胞腫
hemangioendothelioblastoma	血管内皮芽細胞腫
hemangioendothelioma	血管内皮腫
hemangiofibroma	血管線維腫
hemangioma	血管腫∥毛細血管腫
racemose hemangioma	蔓状血管腫
hemangiomatosis	血管腫症
hemangiopericytoma	血管外皮細胞腫
hemangiosarcoma	血管肉腫
hemarthrosis	関節出血∥出血性関節症
hematemesis	吐血
hematencephalon	脳出血(brain hemorrhage; cerebral hemorrhage; encephalorrhagia)
hematobulbia	延髄出血
hematocele	血瘤∥血腫
hematogenous abscess	血行性膿瘍
hematohidrosis	血汗症
hematoma	血腫
subdural hematoma	硬膜下血腫
hematomycosis	真菌血症
hematomyelia	脊髄出血
hematoporphyria	ポルフィリン症(porphyria)
hematosalpinx	卵管血腫
hematuria	血尿
hemianopsia	半盲
hemiatrophy	半側萎縮(症)
hemibladder	半膀胱
hemicardia	半心臓
hemicerebrum	半大脳
hemicraniosis	半頭肥大(症)
hemiglossitis	片側舌炎
hemiglossoplegia	片側舌麻痺∥舌片麻痺
hemignathia	半顎症
hemimacroglossia	片側巨舌症
hemimelia	半肢症
hemiparesis	片側不全麻痺∥半側不全麻痺
hemiplegia	半側麻痺∥片側麻痺∥片麻痺∥半身不随
hemirachischisis	半側脊椎披裂
hemodiapedesis	血液漏出
hemolysis	溶血
hemopathy	血液疾患
hemoperitoneum	腹腔内出血
hemophilia	血友病
hemophthalmia	眼球出血
hemophthalmia interna	眼内出血[L]
hemoptysis	喀血
hemorrhage	出血(bleeding)
pontine hemorrhage	橋出血(pontine bleeding)
pulmonary hemorrhage	肺出血
spinal hemorrhage	脊髄出血(hematomyelia; myelapoplexy; myelorrhagia; spinal apoplexy)
subarachnoid hemorrhage	クモ膜下出血[略 SAH](=subarachnoid bleeding)
subchoroidal hemorrhage	脈絡膜下出血
subdural hemorrhage	硬膜下出血(subdural bleeding)
subhyaloid hemorrhage	硝子体下出血
vitreous hemorrhage	硝子体出血
hemorrhagic bone cyst	出血性骨嚢胞
hemorrhagic cerebral infarction	出血性脳梗塞
hemorrhagic colitis	出血性大腸炎∥出血性結腸炎
hemorrhagic conjunctivitis	出血性結膜炎
hemorrhagic encephalitis	出血性脳炎
hemorrhagic encephalopathy	出血性脳症
hemorrhagic fever	出血熱[略 HF]
hemorrhagic infarct	出血性梗塞
hemorrhagic nephritis	出血性腎炎
hemorrhagic shock	出血性ショック
hemorrhagic thrombocythemia	出血性血小板血症
hemorrhagic ulcer	出血性潰瘍
hemorrhagic vaccinia	出血痘
hemorrhoid	痔
hemosalpinx	卵管血腫
hemosiderin	血鉄素
hemosiderosis	血鉄症
hemothorax	血胸(症)
hepatalgia	肝臓痛(hepatodynia)
hepatic angiosarcoma	肝性血管肉腫
hepatic cirrhosis	肝硬変(cirrhosis//liver cirrhosis//hepatocirrhosis)
hepatic edema	肝性浮腫
hepatic encephalopathy	肝性脳症
hepatic fibrosis	肝線維症
hepatic glomerulosclerosis	肝性糸球体硬化(症)
hepatic icterus	肝性黄疸(hepatic jaundice)
hepatic IgA nephropathy	肝性IgA腎症
hepatic jaundice	肝性黄疸(hepatic icterus)
hepatic metastasis	肝転移(liver metastasis)
hepatic myelopathy	肝性脊髄症
hepatic palmar erythema	肝性手掌紅斑(liver palmar erythema)
hepatic porphyria	肝性ポルフィリン症
hepatic rupture	肝破裂、肝臓破裂(liver rupture//rupture of liver)
hepatic steatosis	肝脂肪症、脂肪肝(liver steatosis//fatty liver)
hepatic tumor	肝腫瘍(liver tumor)
hepatitis	肝炎
chronic hepatitis	慢性肝炎
primary chronic hepatitis	原発性慢性肝炎[略 PCH]
transfusion hepatitis	輸血肝炎
hepatoblastoma	肝芽細胞腫∥肝芽腫
hepatocarcinoma	肝癌(hepatocellular carcinoma)
hepatocellular carcinoma	肝細胞癌(hepatocarcinoma)
hepatocellular jaundice	肝細胞性黄疸
hepatocholangiocarcinoma	胆管肝癌
hepatocholangitis	肝胆管炎
hepatocirrhosis	肝硬変症
hepatodynia	肝臓痛(hepatalgia)
hepatojugular reflux	肝頚静脈逆流
hepatolithiasis	肝内結石症
hepatomegaly	肝肥大∥肝腫大
hepatorenal syndrome	肝腎症候群
hepatorrhagia	肝出血
hepatorrhea	胆汁漏∥胆汁産生過多
hepatorrhexis	肝破裂∥肝臓破裂(liver rupture)
hepatosis	肝臓症
hepatosplenomegaly	肝脾腫大
hepatotoxemia	肝性毒血症
hermaphroditism	半陰陽
hernia	ヘルニア
hiatal hernia	裂孔ヘルニア
vesical hernia	膀胱ヘルニア
herniated disc	椎間板ヘルニア
herpes simplex	単純疱疹[L]
herpes simplex encephalitis	単純ヘルペス脳炎[L]
herpes zoster	帯状疱疹∥帯状ヘルペス[L]
herpes zoster ophthalmicus	眼神経帯状疱疹∥眼神経帯状ヘルペス[L]
herpes zoster oticus	耳神経帯状疱疹∥耳性帯状疱疹[L]
heteresthesia	異種感覚
heterointoxication	異種中毒(症)
hibernoma	冬眠腺腫
hiccup	しゃっくり
hidradenitis	汗腺炎
hidradenitis suppurativa	化膿性汗腺炎
hidrocystadenoma	汗腺嚢胞腺腫
hidrocystoma	汗腺嚢腫
hidrorrhea	過剰発汗
hirsutism	多毛症
histiocytosis	組織球増殖症
malignant histiocytosis	悪性組織球症[略 MH]
homocystinemia	ホモシスチン血(症)
homocystinuria	ホモシスチン尿(症)
hunger pain	飢餓痛
Hunter's glossitis	ハンター舌炎(atrophic glossitis)
hyaline degeneration	硝子様変性
hyaline membrane disease	硝子膜症[略 HMD]
hyalitis	硝子体炎
hydramnios	羊水過多(症)
hydrocalycosis	腎杯水腫
hydrocele	水瘤
hydrocephalus	水頭症
normal pressure hydrocephalus	正常圧水頭症[略 NPH]
hydromyoma	水筋腫
hydrophobia	狂水病
hydronephrosis	水腎症
hydropelvis	水腎盂症
hydrosalpinx	卵管水腫∥卵管留水症
hygroma	滑液嚢水腫∥ヒグローマ
hygroma axillare	腋窩ヒグローマ[L]
hymenitis	処女膜炎
hypacusis	聴力低下(hypoacusis)
hyperactivity	多動性
hyperalgesia	痛覚過敏(症)
hyperammonemia	過アンモニア血(症)
hyperanakinesia	多動症
hypercalcinuria	高カルシウム尿症
hypercapnia	高炭酸症
hypercellularity	細胞過多∥細胞過形成
hypercementosis	セメント質増殖症
hyperchlorhydria	胃の過酸症
hypercholia	胆汁過多(症)
hyperchondroplasia	軟骨過形成
hyperchromatism	過色素性∥過染色性
hypercorticosteroidism	副腎皮質機能亢進(症)
hyperemia	充血
hyperesthesia	感覚過敏
olfactory hyperesthesia	嗅覚過敏
hyperfunction	機能亢進(症)
hypergastrinemia	高ガストリン血(症)
hyperglycemia	高血糖症∥過血糖症
hyperglycorrhachia	髄液糖過剰(症)
hypergranulosis	顆粒層肥厚
hyperhidrosis	多汗(症)(polyhidrosis)
hyperhydration	過量輸液
hyperinsulinemia	高インスリン血[症]∥インスリン過剰血(症)
hyperkeratosis	過角化
hyperkinesia	多動
hyperlalia	多言(症)
hyperlipidemia	高脂質血(症)
hypermania	重症躁病
hypermobility	運動機能亢進
hypermyotonia	筋緊張亢進
hypermyotrophy	筋肥大
hypernatremia	高ナトリウム血[症]∥ナトリウム過剰血(症)
hyperopia	遠視
hyperorexia	食欲過剰
hyperovulation	排卵過剰
hyperoxia	高酸素[症]∥酸素過剰(症)
hyperparathyroidism	副甲状腺機能亢進(症)
hyperperfusion syndrome	過潅流症候群
hyperperistalsis	蠕動亢進
hyperphonia	発声過度
hyperplasia	過形成
hyperpnea	過呼吸
hyperproteinemia	高蛋白血症
hyperpyrexia	超高熱
hyperreflexia	反射亢進
hypersensibility	感覚過敏
hypersplenism	脾機能亢進(症)
hypertension	高血圧(症)
ocular hypertension	高眼圧(症)
portal hypertension	門脈高血圧
hypertensive episode	高血圧発作
hypertensive encephalopathy	高血圧性脳症
hypertensive heart disease	高血圧性心疾患(略 HHD)
hypertensive retinopathy	高血圧性網膜症
hypertelorism	隔離症
hyperthermia	高体温[症]∥過温症∥高熱
hyperthyroidism	甲状腺機能亢進症
hypertonic bladder	高張膀胱
hypertriglyceridemia	高トリグリセリド血(症)
hypertrophic cardiomyopathy	肥大型心筋症[略 HCM]
hypertrophy	肥大
ventricular hypertrophy	心室性肥大
hyperuricemia	高尿酸血(症)
hyperuricuria	高尿酸尿(症)
hypervascularity	血管分布過多
hyperventilation	過換気
hypesthesia	感覚減退∥感覚鈍麻(hypoesthesia)
olfactory hypesthesia	嗅覚鈍麻
hypoacusis	聴力低下(hypacusis)
hypoalphalipoproteinemia	低α蛋白血(症)
hypoalimentation	低栄養
hypobarism	低圧(症)
hypocalcemia	低カルシウム血(症)
hypocapnia	低炭酸症
hypochloraemia	低塩素血[症]∥低クロール血(症)(hypochloremia)
hypochloremia	低塩素血[症]∥低クロール血(症)(hypochloraemia)
hypochondrogenesis	軟骨低形成(症)
hypochondroplasia	軟骨低形成(症)
hypochylia	乳糜減少(症)
hypocorticosteroidism	副腎皮質機能低下(症)
hypocytosis	血球減少(症)
hypodontia	部分性無歯[症]∥歯数不足(症)
hypoesthesia	感覚減退∥感覚鈍麻(hypesthesia)
hypofunction	機能低下(症)
hypogenesis	形成不全[症]∥発育不全(症)
hypoglycemia	低血糖(症)
hypoglycorrhachia	髄液糖減少(症)
hypohidrosis	発汗減少
hypohydration	脱水症
hypoinsulinemia	低インスリン血(症)
hypoinsulinism	低インスリン症
hypokalemia	低カリウム血(症)
hypolipemia	低脂肪血(症)
hypoliposis	低脂肪[症]∥脂肪減少(症)
hypomania	軽躁[病]
hypomelanotic melanoma	低メラニン色素性黒色腫
hypometabolism	低代謝∥代謝低下
hypomotility	低運動性
hypomyotonia	筋弛緩(症)
hypopancreatism	膵臓機能低下[症]∥膵臓機能減退(症)
hypophonia	発音不全
hypophoria	下斜位
hypoplasia	低形成∥減形成
hypoplastic left heart syndrome	左心低形成症候群[略 HLHS]
hypopnea	呼吸低下
hypopotassemia	低カリウム血(症)
hypoproteinemia	低蛋白血症
hyposecretion	分泌不全∥分泌減退
hypotension	低血圧[症]∥緊張低下(症)
hypothermia	低体温
hypothymia	気分沈滞
hypothyroidism	甲状腺機能低下(症)
hypotonia	低圧
hypotrichosis	先天性貧毛(症)
hypotrichosis congenita	先天性貧毛(症)[L]
hypoventilation	低換気∥呼吸低下(underventilation)
hypovitaminosis	ビタミン不足(症)
hypovolemia	低血液量[症]∥血液量減少(症)
hypovolia	減量症
hypoxemia	低酸素血(症)
hypoxia	低酸素(症)
hypoxic encephalopathy	低酸素性脳症(anoxic encephalopathy) 
hypoxic ischemic encephalopathy	低酸素性虚血性脳症 
hypsicephaly	高頭蓋症∥塔状頭蓋症
hypsicrany	高頭蓋症
hypsodont	長冠歯
hysteralgia	子宮痛
hysteritis	子宮炎
hysterodynia	子宮痛
hysterolith	子宮結石
hysteroptosis	子宮下垂
hysterorrhexis	子宮破裂(症)(metrorrhexis)
hysterospasm	子宮痙攣
ichthyosis	魚鱗癬
icterus	黄疸
idiopathic aplastic anemia	特発性再生不良性貧血
idiopathic bone cavity	特発性骨空洞∥特発性骨腔
idiopathic pulmonary fibrosis	特発性肺線維症[略 IPF]
idiopathy	特発症
ileitis	回腸炎
ileocolitis	回結腸炎
ileus	腸閉塞[症]∥イレウス
paralytic ileus	麻痺性腸閉塞(症)
immunodeficiency	免疫不全(症)
imperforate anus	鎖肛(anal atresia; aproctia; atresia ani[L])
impetigo	膿痂疹
imported infectious disease	輸入感染症
incarceration	嵌頓(症)
incipient herniation	初発ヘルニア形成
incontinence	失禁
urinary incontinence	尿失禁
incontinentia pigmenti	色素失調(症)
induration	硬化∥硬結∥硬結部
infantile fibrosarcoma	小児性線維肉腫
infantile seborrheic dermatitis	脂漏性乳児皮膚炎
infarction	梗塞
pulmonary infarction	肺梗塞
viral infection	ウイルス性感染
infectious arthritis	感染性関節炎
infectious bulbar paralysis	感染性球麻痺
infectious conjunctivitis	伝染性結膜炎
infectious mononucleosis	伝染性単核症∥伝染性単核球症∥伝染性単核細胞症(略 IM)
infectious spondylitis	感染性脊椎炎 ＝化膿性脊椎炎∥細菌性脊椎炎
influenza	インフルエンザ
influenza-associated encephalopathy	インフルエンザ脳症
infundibular pulmonary stenosis	肺動脈漏斗部狭窄
inhalation pneumonia	吸入性肺炎∥吸引性肺炎
insomnia	不眠(症)
insufficiency	不全(症)
insulinoma	インスリン腫
intercostal neuralgia	肋間神経痛
interlobular pleurisy	小葉間胸膜炎
intermittent malaria	間欠熱マラリア
intermittent pain	間欠痛
intervertebral space cyst	椎間腔嚢胞
internal granuloma	内部性肉芽腫[[歯]]〈歯髄〉
internal injury	内臓損傷
internal resorption	内部性吸収[[歯]]〈根管〉
interstitial cystitis	間質性膀胱炎
interstitial gastritis	間質性胃炎
interstitial glossitis	間質性舌炎
interstitial nephritis	間質性腎炎
interstitial pneumonia	間質性肺炎(略 IP)
intestinal polyp	腸ポリープ
intestinal tuberculosis	腸結核
intolerance	不耐性
lactose intolerance	乳糖不耐性
intoxication	中毒(poisoning)
paraquat intoxication	パラコート中毒
water intoxication	水中毒
intra-alveolar pneumonia	肺胞内肺炎
intracanalicular fibroadenoma	管内性線維腺腫
intracranial hypertension	頭蓋内圧亢進症
intradermal nevus	真皮内母斑
intraductal papillary mucinous tumor	膵管内乳頭粘液性腫瘍(略 IPMT)
intrahepatic cholangiocarcinoma	肝内胆管癌
intraligamentary pregnancy	靭帯内妊娠
intumescentia abdominis	腹部膨大
invasive carcinoma	浸潤癌
invasive ductal carcinoma	浸潤性乳管癌
invasive lobular carcinoma	浸潤性小葉癌〈乳癌〉
invasive mole	侵入奇胎(chorioadenoma destruens[L])
inverted nipple	陥没乳頭
inverted papilloma	逆性乳頭腫∥内翻性乳頭腫
inversion of nipple	乳首内反
iralgia	虹彩痛(iridalgia)
iridalgia	虹彩痛(iralgia)
iridectropium	虹彩外反(症)
iridemia	虹彩出血
iridentropium	虹彩内反(症)
irideremia	無虹彩[症]∥虹彩欠損(症)
iridoavulsion	虹彩裂離
iridocele	虹彩嚢胞
iridochoroiditis	虹彩脈絡膜炎
iridocyclitis	虹彩毛様体炎
iridokeratitis	虹彩角膜炎
iridopathy	虹彩症
iritis	虹彩炎
traumatic iritis	外傷性虹彩炎
iritis glaucomatosa	緑内障性虹彩炎[L]
irradiation fibromatosis	照射性線維腫症
jaundice	黄疸
jejunitis	空腸炎
jejunoileitis	空回腸炎
junctional nevus	結合部母斑
juvenile hemangioma	若年性血管腫
juvenile melanoma	若年性黒色腫
juvenile periodontitis	若年性歯周炎
juvenile rheumatoid arthritis	若年性リウマチ様関節炎[略 JRA]
juxtaductal coarctation of aorta	傍動脈管型大動脈縮窄
juxtaglomerular cell tumor	傍糸球体細胞腫
kalemia	カリウム血症
kaliopenia	カリウム欠乏(症)
kaposi's sarcoma	カポジ肉腫
karyolysis	核溶解
karyorrhexis	核崩壊
keratectasia	角膜拡張症
keratin pearl	癌真珠
keratitis	角膜炎
marginal keratitis	辺縁角膜炎
keratitis parenchymatosa	実質性角膜炎[略 KP]
keratoacanthoma	角化棘細胞腫
keratoconjunctivitis	角膜結膜炎
ultraviolet keratoconjunctivitis	紫外線角膜結膜炎
keratocyst	角化性嚢胞
keratoderma	角皮症(leukoplakia)
keratoglobus	球状角膜
keratohelcosis	角膜潰瘍(corneal ulcer)
keratoma	角化腫
keratoscleritis	角膜強膜炎
keratosis	角化症
koilocytosis	空胞細胞症∥コイロサイトーシス 
koilosternia	漏斗胸(funnel chest; chonechondrosternon; pectus excavatum[L])
korsakoff syndrome	コルサコフ症候群
kraurosis	萎縮症
kyphoscoliosis	脊椎後側彎症
kyphosis	脊椎後彎症∥後彎症∥亀背
labiochorea	口唇舞踏病
lactocele	乳瘤
lacunar tonsillitis	陰窩性扁桃炎
laparocele	腹部ヘルニア
laryngeal cancer	喉頭癌
laryngeal crisis	喉頭発症
laryngeal edema	喉頭浮腫
laryngeal papillomatosis	喉頭乳頭腫症
laryngeal paralysis	喉頭麻痺(laryngoplegia)
laryngeal perichondritis	喉頭軟骨膜炎
laryngeal phthisis	喉頭結核(laryngophthisis)
laryngitis	喉頭炎
subglottic laryngitis	声門下喉頭炎
laryngomalacia	喉頭軟化症
laryngoplegia	喉頭麻痺(laryngeal paralysis)
laryngospasm	喉頭痙攣∥声門痙攣
laryngostenosis	喉頭狭窄
laryngotracheitis	喉頭気管炎
late infection	遅発性感染
lateral abscess	根側膿瘍[[歯]]
lateral cyst	根側嚢胞[[歯]](lateral periodontal cyst) ＝側方性歯周嚢胞 
lateral granuloma	根側肉芽腫[[歯]]
lateral periodontal cyst	根側嚢胞[[歯]](lateral cyst) ＝側方性歯周嚢胞
lateral radicular cyst	根側性歯根嚢胞[[歯]]
left ventricular hypertrophy	左室肥大∥左心室肥大
leiomyofibroma	平滑筋線維腫
leiomyoma	平滑筋腫
leiomyoma cutis	皮膚平滑筋腫
leiomyomatosis	平滑筋腫症
leiomyosarcoma	平滑筋肉腫
lentiginosis	多発性黒子症
lentigo	黒子
lentigo maligna	悪性黒子
lentigo maligna melanoma	悪性黒子黒色腫(略 LMM)
leprosy	癩
leptocephalia	狭小頭蓋症∥狭頭症
leptocytosis	標的赤血球増加症
leptomeningitis	軟膜炎
leptoprosopia	長顔症
leptospirosis	レプトスピラ症〈Leptospira interrogansによる感染症〉
leptotrichosis conjunctivae	結膜レプトトリックス症
leukemia	白血病
plasma cell leukemia	形質細胞性白血病
promyelocytic leukemia	前骨髄球性白血病
leukemic stomatitis	白血病性口内炎
leukemic gingivitis	白血病性歯肉炎
leukocoria	白色瞳孔
leukocyte migration inhibition	白血球遊走阻止(略 LMI)
leukocytopenia	白血球減少(症)(leukopenia)
leukocytoplania	白血球遊出
leukocytosis	白血球増加(症)
leukodystrophy	白質異栄養(症)
leukoedema	白色浮腫
leukoencephalopathy	白質脳症
leukomalacia	白質軟化(症)
leukomyelitis	白質脊髄炎∥脊髄白質炎
leukonychia	爪甲白斑(症)
leukopedesis	白血球漏出
leukopenia	白血球減少(症)(leukocytopenia)
leukoplakia	白板症
verrucous leukoplakia	疣贅性白板症
leukorrhea	白帯下∥帯下/たいげ/
leukosis	白血症
leukostasis	白血球停滞
lichen	苔癬 
lichen planus	扁平苔癬(略 LMM)
lichen sclerosus	硬化性苔癬
lichen striatus	線状苔癬
lichenoid dermatosis	苔癬様皮膚症∥苔癬様皮膚病
lichenoid dysplasia	苔癬様異形成
lichenoid eczema	苔癬様湿疹 
lichenoid keratosis	苔癬様角化症
lid abscess	眼瞼膿瘍
lid retraction	眼瞼後退
linea alba buccalis	頬部白線
lingua dissecta	亀裂舌∥溝状舌[L](=fissured tongue)
lingual thyroid	舌甲状腺
lipemic retinopathy	脂肪血[症]性網膜症
lipid pneumonia	脂肪性肺炎(lipoid pneumonia)
lipoblastoma	脂肪芽細胞腫
lipodystrophia	脂肪ジストロフィ(lipodystrophy)
lipodystrophy	脂肪ジストロフィ(lipodystrophia)
lipoid pneumonia	リポイド肺炎(lipid pneumonia)
lipofibroma	脂肪線維腫
lipofibromyxoma	脂肪線維粘液腫
lipogranulomatosis	脂肪肉芽腫症
lipoma	脂肪腫
ossifying lipoma	骨化性脂肪腫
lipomatosis	脂肪腫症
lipomeningocele	脂肪髄膜瘤
liposarcoma	脂肪肉腫
lipotrophy	脂肪増多(症)
liquorrhea	髄液漏
lithonephritis	結石性腎炎
liver abscess	肝膿瘍
liver palmar erythema	肝性手掌紅斑(hepatic palmar erythema)
lobar pneumonia	大葉性肺炎
lobular atelectasis	小葉性無気肺
lobular pneumonia	小葉性肺炎
localized scleroderma	限局性強皮症
longitudinal fracture	縦骨折(vertical fracture)
lordoscoliosis	脊椎前側彎症
lordosis	脊椎前彎症
low-grade fibromyxoid sarcoma	低悪性線維粘液性肉腫
lower motor neuron lesion	下位運動ニューロン障害(略 LMNL)
ludwig angina	ルードウィッヒアンギーナ
lumbago	腰痛(症)
lumbar myelopathy	腰髄症
lung contusion	肺挫傷(pulmonary contusion)
lung damage	肺損傷(lung injury; pulmonary damage)
lung disease	肺疾患(pulmonary disease)
lung infarction	肺梗塞(pulmonary infarction)
lung injury	肺損傷(lung damage; pulmonary damage)
lung tumor	肺腫瘍
lupus erythematosus	紅斑性狼瘡
lupus hypertrophicus	肥厚性狼瘡
systemic lupus erythematosus	全身性紅斑性狼瘡∥全身性エリテマトーデス(略 SLE)
lupus nephritis	ループス腎炎
lupus tuberculosus	結核性狼瘡
lyme arthritis	ライム関節炎
lyme disease	ライム病(ライム関節炎)
lymph scrotum	リンパ陰嚢(elephantiasis scroti)
lymph varix	リンパ管怒張∥リンパ管瘤
lymphadenitis	リンパ節炎
lymphadenoma	リンパ節腫
sebaceous lymphadenoma	脂腺リンパ節腫
lymphadenopathy	リンパ節障害∥リンパ節症
lymphangioma	リンパ管腫
lymphangitis	リンパ管炎
lymphatitis	リンパ組織炎
lymphedema	リンパ水腫
lymphoblastic lymphoma	リンパ芽球性リンパ腫
lymphocytic leukemia	リンパ球性白血病
lymphocytopenia	リンパ球減少(症)
lymphoepithelioma	リンパ上皮腫
lymphogranulomatosis	リンパ肉芽腫症
lymphoma	リンパ腫
malignant lymphoma	悪性リンパ腫
lymphoplasmacytic lymphoma	リンパ球形質細胞性リンパ腫
lymphosarcoma	リンパ肉腫
lymphuria	リンパ尿症
macrocheilia	巨唇症
macrodactylia	大指症
macrodontia	巨大歯
macrogenitosomia	早発性大性器症
macroglossia	大舌症
macrognathia	大顎症
macronychia	巨爪(症)
macropyuria	肉眼的膿尿
macrosomia	巨人症(gigantism; somatomegaly)
macula solaris	夏日斑∥雀斑
macular dystrophy	黄斑ジストロフィー
occult macular dystrophy	オカルト黄斑ジストロフィー
magenta tongue	赤色舌炎
malaria	マラリア
malignant hyperthermia	悪性高熱(症)
malignant melanoma	悪性黒色腫
malignant mesothelioma	悪性中皮腫
malignant paraganglioma	悪性傍神経節腫
malnutrition	栄養失調∥栄養不良
malpresentation	胎位異常
malreduction	不全整復
mammalgia	乳房痛(mastalgia; mastodynia; mammodynia)
mammary neuralgia	乳房神経痛
mammodynia	乳房痛(mastalgia; mammalgia; mastodynia)
manifest hyperopia	顕性遠視(略 Hm)
massive collapse	大虚脱
mastalgia	乳房痛(mammalgia; mastodynia; mammodynia)
mastitis	乳腺炎
mastocytosis	肥満細胞症
mastocytoma	肥満細胞腫
mastodynia	乳房痛(mastalgia; mammalgia; mammodynia)
mastoidalgia	乳突痛∥乳様突起痛
mastoiditis	乳突炎∥乳様突起炎
maxillary bone fracture	上顎骨折
maxillary retrusion	上顎後退症
maxillitis	上顎炎
mature epithelial tumor	成熟型上皮性腫瘍
measles	麻疹
mediastinal teratoma	縦隔奇形腫
mediastinitis	縦隔炎
mediastinopericarditis	縦隔心膜炎
medullary porencephaly	髄質孔脳症
medulloencephalitis	髄質脳炎
medulloblastoma	髄芽細胞腫
medulloepithelioma	髄様上皮腫
megabladder	巨大膀胱(megacystis; megalocystis)
megacolon	巨大結腸
megacystis	巨大膀胱(megabladder; megalocystis)
megakaryocytosis	巨核球症
megaloblastic anemia	巨赤芽球性貧血
megaloblastosis	巨赤芽球症
megalocardia	巨心症
megalocystis	巨大膀胱(megabladder; megacystis)
megalodactyly	巨指症
megalomelia	巨肢症
megasigmoid	巨大S状結腸
meibomitis	マイボーム腺炎
meibomian gland dysfunction	マイボーム腺機能障害  
melagra	四肢筋痛∥肢筋痛
melalgia	肢痛
melanidrosis	黒色汗症
melanoma	黒色腫
melanomatosis	黒色腫症
melanoplakia	黒斑症
melanosis	黒色症
peritoneal melanosis	腹膜黒色症(melanosis peritonei)
melanosis iridis	虹彩黒色症
melanuria	黒色尿∥メラニン尿
melena	黒色便∥下血∥メレナ
melitis	頬炎
melomelus	副肢症∥副肢奇形∥副肢奇形体
membranous nephropathy	膜性腎症
membranous rhinitis	膜性鼻炎
menalgia	月経痛
meningeal irritation syndrome	髄膜刺激症候群
meningeal leukemia	髄膜白血病
meningeal tuberculosis	髄膜結核
meningioma	髄膜腫
meningiomatosis	髄膜腫症
meningitis	髄膜炎
Mollaret's meningitis	モラレー髄膜炎
Neisseria meningitis	髄膜菌炎[略 NM]
pneumococcal meningitis	肺炎球菌[性]髄膜炎
purulent meningitis	化膿性髄膜炎
serous meningitis	漿液性髄膜炎
spinal meningitis	脊髄[髄]膜炎(myelomeningitis; meningomyelitis)
tuberculous meningitis	結核性髄膜炎
meningocele	髄膜瘤
meningococcal meningitis	髄膜炎性髄膜炎
meningococcemia	髄膜炎菌血症
meningoencephalitis	髄膜脳炎
meningoencephalocele	髄膜脳瘤
meningoencephalomyelitis	髄膜脳脊髄炎
meningoencephalopathy	髄膜脳障害∥髄膜脳症(encephalomeningopathy)
meningomalacia	髄膜軟化症
meningomyeloencephalitis	髄膜脊髄脳炎
meningorrhagia	髄膜出血
meniscitis	半月軟骨炎
meniscocyte	鎌状赤血球
menopausal syndrome	閉経症候群
menstrual edema	月経性水腫∥月経性浮腫
menopause	閉経∥月経閉止
menophania	月経初潮
menorrhagia	月経過多
menorrhalgia	月経痛
menoschesis	月経閉止
menouria	月経尿
menoxenia	月経不順
menstrual pain	生理痛
mesenchymoma	間葉腫
mesenteritis	腸間膜炎
mesial temporal sclerosis	内側側頭葉硬化症
mesiotemporal lobe epilepsy	内側側頭葉癲癇
mesioversion	近心転位
mesonephroma	中腎腫
mesothelioma	中皮腫
peritoneal mesothelioma	腹膜中皮腫
sarcomatous mesothelioma	肉腫性中皮腫
metabolic diseases	代謝疾患
metal allergy	金属アレルギー 
metallophobia	金属恐怖(症)
metalues	変性梅毒
metaphysitis	骨幹端炎
metaplasia	化生
metastasis	転移
metastatic tumor	転移性腫瘍
metatarsalgia	中足骨痛
metralgia	子宮痛
metritis	子宮炎
metroendometritis	子宮内膜筋層炎
metromalacia	子宮軟化症
metroperitonitis	子宮腹膜炎
metrorrhea	子宮漏
metrorrhexis	子宮破裂(症)(hysterorrhexis)
micrencephalus	小脳症体∥小脳髄症体
micrencephaly	小脳症∥小脳髄症(microencephaly)
microabscess	微小膿瘍
microaneurysms	微小動脈瘤
microangiopathy	微小血管症
microcardia	小心症
microcephalus	小頭体
microcephaly	小頭蓋[症]∥小頭(症)
microcheilia	小唇症
microcheiria	小手症
microcolon	小結腸症
microcoria	小瞳孔症
microcyst	微小嚢胞∥小嚢胞
microcytosis	小球症
microdactyly	小指症
microdontia	小歯症∥矮小歯
microencephaly	小脳症∥小脳髄症(micrencephaly)
microgastria	小胃症
microgenesis	矮小発育
microgenia	小下顎(症)
microgenitalism	小性器(症)
microglioma	小膠細胞腫
microgliosis	小膠細胞症
microglossia	小舌症
micrognathia	小顎症
micrographia	小書症∥小字症
microphthalmia	小眼球(症)
micropsia	小視症
microsomia	小人症
microstomia	小口症
microtia	小耳症
middle phalanx fracture	中節骨折
